recipe_name,extraction_day,extraction_time,cuisine_types,diets_types,macronutrients
Spicy Salmon Cucumber Bites recipes,2022-10-16,17:20:23,['nordic'],['paleo'],"{'protein': 49.84, 'carbs': 17.2, 'fat': 75.62}"
Blueberry French Toast Casserole recipes,2022-10-16,17:20:23,['french'],['paleo'],"{'protein': 78.59, 'carbs': 290.1, 'fat': 84.95}"
Paleo Honey Cake,2022-10-16,17:20:23,['eastern europe'],['paleo'],"{'protein': 87.32, 'carbs': 258.25, 'fat': 259.21}"
Chocolate Pumpkin Pie recipes,2022-10-16,17:20:23,['central europe'],['paleo'],"{'protein': 44.05, 'carbs': 429.69, 'fat': 162.78}"
Paleo Creamy Alfredo,2022-10-16,17:20:23,['american'],['paleo'],"{'protein': 16.48, 'carbs': 32.46, 'fat': 91.36}"
Paleo Blini recipes,2022-10-16,17:20:23,['eastern europe'],['paleo'],"{'protein': 15.5, 'carbs': 12.78, 'fat': 23.29}"
Paleo Tzimmes,2022-10-16,17:20:23,['kosher'],['paleo'],"{'protein': 16.11, 'carbs': 236.88, 'fat': 3.86}"
Paleo Pumpkin Bars,2022-10-16,17:20:23,['american'],['paleo'],"{'protein': 39.73, 'carbs': 169.01, 'fat': 117.95}"
Paleo Fruitcake,2022-10-16,17:20:23,['american'],['paleo'],"{'protein': 82.45, 'carbs': 271.48, 'fat': 204.91}"
Paleo Chocolate Frosting,2022-10-16,17:20:23,['american'],['paleo'],"{'protein': 14.19, 'carbs': 85.18, 'fat': 150.26}"
Paleo Crepes recipes,2022-10-16,17:20:29,['french'],['paleo'],"{'protein': 27.38, 'carbs': 9.57, 'fat': 61.87}"
Paleo Peach Crisp,2022-10-16,17:20:29,['french'],['paleo'],"{'protein': 39.58, 'carbs': 126.88, 'fat': 97.83}"
Paleo Pumpkin Bars,2022-10-16,17:20:29,['american'],['paleo'],"{'protein': 36.27, 'carbs': 182.51, 'fat': 105.1}"
Paleo Honey Cake,2022-10-16,17:20:29,['american'],['paleo'],"{'protein': 87.32, 'carbs': 258.25, 'fat': 259.24}"
Paleo Carrot Soup,2022-10-16,17:20:29,['american'],['paleo'],"{'protein': 27.17, 'carbs': 116.73, 'fat': 125.14}"
Paleo Fruitcake recipes,2022-10-16,17:20:29,['american'],['paleo'],"{'protein': 85.97, 'carbs': 271.68, 'fat': 207.57}"
Best Paleo Chili,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 193.11, 'carbs': 83.93, 'fat': 227.24}"
Perfect Paleo Pizza,2022-10-16,17:20:36,['italian'],['paleo'],"{'protein': 123.47, 'carbs': 75.65, 'fat': 235.87}"
Grain-Free Cauliflower Fried Rice recipes,2022-10-16,17:20:36,['chinese'],['paleo'],"{'protein': 37.54, 'carbs': 56.92, 'fat': 53.88}"
Paleo Chocolate Frosting recipes,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 7.27, 'carbs': 112.19, 'fat': 269.91}"
Paleo Eggplant Lasagna,2022-10-16,17:20:36,['italian'],['paleo'],"{'protein': 172.17, 'carbs': 186.26, 'fat': 467.17}"
Paleo Pecan Tart Crust,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 20.15, 'carbs': 24.96, 'fat': 111.99}"
Paleo Shepherd’s Pie,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 189.35, 'carbs': 143.25, 'fat': 300.66}"
Paleo Pie Crust recipes,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 56.39, 'carbs': 43.01, 'fat': 143.87}"
Paleo Mug Cake recipes,2022-10-16,17:20:36,['british'],['paleo'],"{'protein': 10.48, 'carbs': 19.56, 'fat': 12.5}"
Paleo Flourless Chocolate Cake,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 83.82, 'carbs': 384.27, 'fat': 324.34}"
Mini Paleo Egg Bites,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 118.36, 'carbs': 6.54, 'fat': 61.57}"
Egg-Free Paleo Macaroons,2022-10-16,17:20:36,['french'],['paleo'],"{'protein': 9.91, 'carbs': 99.09, 'fat': 110.51}"
Paleo Raw Chocolate Bites,2022-10-16,17:20:36,['american'],['paleo'],"{'protein': 46.07, 'carbs': 261.6, 'fat': 147.5}"
Paleo Mushroom Soup recipes,2022-10-16,17:20:43,['french'],['paleo'],"{'protein': 60.19, 'carbs': 112.58, 'fat': 52.61}"
Paleo Birthday Cake recipes,2022-10-16,17:20:43,['american'],['paleo'],"{'protein': 68.21, 'carbs': 199.96, 'fat': 161.13}"
Paleo Avocado Tuna Salad,2022-10-16,17:20:43,['mexican'],['paleo'],"{'protein': 32.45, 'carbs': 24.27, 'fat': 31.05}"
Paleo Honey Cake recipes,2022-10-16,17:20:43,['eastern europe'],['paleo'],"{'protein': 90.83, 'carbs': 258.46, 'fat': 261.91}"
Paleo Pumpkin Bars recipes,2022-10-16,17:20:43,['american'],['paleo'],"{'protein': 49.0, 'carbs': 412.09, 'fat': 116.03}"
Perfect Paleo Baked Salmon,2022-10-16,17:20:43,['nordic'],['paleo'],"{'protein': 161.95, 'carbs': 1.17, 'fat': 160.83}"
Chocolate Mousse (Paleo! Keto!),2022-10-16,17:20:43,['french'],['paleo'],"{'protein': 20.23, 'carbs': 126.01, 'fat': 153.36}"
Crab + Avocado Temaki recipes,2022-10-16,17:20:50,['caribbean'],['paleo'],"{'protein': 88.79, 'carbs': 32.66, 'fat': 55.58}"
Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 9.65, 'carbs': 42.63, 'fat': 83.92}"
Paleo Prosciutto Egg Cups,2022-10-16,17:20:50,['italian'],['paleo'],"{'protein': 80.95, 'carbs': 6.34, 'fat': 113.98}"
Paleo Chicken Adobo recipes,2022-10-16,17:20:50,['mediterranean'],['paleo'],"{'protein': 123.17, 'carbs': 61.52, 'fat': 107.7}"
Cranberry Apple Stuffing,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 47.89, 'carbs': 285.93, 'fat': 93.75}"
Paleo Dirty Rice recipes,2022-10-16,17:20:50,['caribbean'],['paleo'],"{'protein': 26.68, 'carbs': 80.75, 'fat': 35.37}"
Slow-Cooker Paleo Meatballs,2022-10-16,17:20:50,['eastern europe'],['paleo'],"{'protein': 145.6, 'carbs': 102.25, 'fat': 144.33}"
Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,2022-10-16,17:20:50,['italian'],['paleo'],"{'protein': 100.74, 'carbs': 92.07, 'fat': 360.57}"
Paleo Pork Chili Verde,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 107.7, 'carbs': 68.02, 'fat': 28.69}"
Paleo Steak and Egg Salad,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 65.19, 'carbs': 17.09, 'fat': 69.97}"
Easy Paleo Beef with Broccoli,2022-10-16,17:20:50,['mediterranean'],['paleo'],"{'protein': 102.5, 'carbs': 38.41, 'fat': 98.85}"
Paleo Party Pork Carnitas,2022-10-16,17:20:50,['mexican'],['paleo'],"{'protein': 268.92, 'carbs': 128.88, 'fat': 334.28}"
Paleo Pecan Tart Crust recipes,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 21.03, 'carbs': 25.01, 'fat': 112.66}"
Paleo Shepherd's Pie recipes,2022-10-16,17:20:50,['american'],['paleo'],"{'protein': 189.35, 'carbs': 143.25, 'fat': 300.66}"
Paleo Vanilla Birthday Cake recipes,2022-10-16,17:20:56,['french'],['paleo'],"{'protein': 71.11, 'carbs': 159.31, 'fat': 147.25}"
Egg-Free Paleo Macaroons recipes,2022-10-16,17:20:56,['french'],['paleo'],"{'protein': 10.16, 'carbs': 105.7, 'fat': 110.51}"
Paleo Raw Chocolate Bites recipes,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 46.07, 'carbs': 261.6, 'fat': 147.5}"
Perfect Paleo Pie Crust recipes,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 43.97, 'carbs': 104.37, 'fat': 160.83}"
Practical Paleo: Mint Chip Truffles,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 3.76, 'carbs': 23.94, 'fat': 80.65}"
Cindy's Paleo Harvest Chili,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 210.45, 'carbs': 139.56, 'fat': 272.52}"
Instant Pot Paleo Pork Tenderloin,2022-10-16,17:20:56,['french'],['paleo'],"{'protein': 362.76, 'carbs': 16.83, 'fat': 64.04}"
Paleo Pecan-Crusted Chicken | everydaypaleo.com,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 258.66, 'carbs': 55.59, 'fat': 103.91}"
Entertain Meatloaf Style,2022-10-16,17:20:56,['american'],['paleo'],"{'protein': 197.94, 'carbs': 70.1, 'fat': 110.07}"
Semi-Homemade Paleo Spaghetti And Meatballs,2022-10-16,17:20:56,['italian'],['paleo'],"{'protein': 128.54, 'carbs': 366.81, 'fat': 166.72}"
Easy Paleo Herb Gravy recipes,2022-10-16,17:21:04,['french'],['paleo'],"{'protein': 23.56, 'carbs': 39.05, 'fat': 42.25}"
Homemade Mayo (Paleo and Whole30 Friendly!),2022-10-16,17:21:04,['italian'],['paleo'],"{'protein': 2.81, 'carbs': 1.11, 'fat': 112.61}"
Paleo and Vegan Pesto stuffed mushrooms,2022-10-16,17:21:04,['american'],['paleo'],"{'protein': 10.73, 'carbs': 15.5, 'fat': 49.29}"
Paleo Un-Stuffed Cabbage Soup,2022-10-16,17:21:04,['italian'],['paleo'],"{'protein': 141.27, 'carbs': 55.82, 'fat': 198.73}"
Sweet Potato Chili (Paleo-Friendly!),2022-10-16,17:21:04,['american'],['paleo'],"{'protein': 98.56, 'carbs': 191.3, 'fat': 176.93}"
Paleo Dirty Cauliflower ‘Rice’ Recipe,2022-10-16,17:21:04,['mediterranean'],['paleo'],"{'protein': 26.68, 'carbs': 80.75, 'fat': 35.37}"
Spicy Paleo Pumpkin Muffins recipes,2022-10-16,17:21:04,['british'],['paleo'],"{'protein': 121.84, 'carbs': 413.93, 'fat': 317.39}"
Paleo Cauliflower Bacon Fried Rice Recipe,2022-10-16,17:21:04,['chinese'],['paleo'],"{'protein': 28.76, 'carbs': 50.01, 'fat': 48.09}"
Paleo Beef and Sweet Potato Stew,2022-10-16,17:21:04,['american'],['paleo'],"{'protein': 200.82, 'carbs': 153.82, 'fat': 102.62}"
Paleo Comfort Foods’ Poached Pears recipes,2022-10-16,17:21:04,['french'],['paleo'],"{'protein': 9.82, 'carbs': 214.27, 'fat': 3.04}"
Madras Chicken Salad recipes,2022-10-16,17:21:04,['mediterranean'],['paleo'],"{'protein': 150.18, 'carbs': 41.36, 'fat': 123.75}"
Slow Cooker Cheater Pork Stew recipes,2022-10-16,17:21:04,['french'],['paleo'],"{'protein': 244.29, 'carbs': 69.44, 'fat': 249.9}"
Strawberry Rhubarb Crisp - and it's paleo. recipes,2022-10-16,17:21:04,['american'],['paleo'],"{'protein': 32.24, 'carbs': 250.87, 'fat': 139.25}"
Paleo Pasta Salad with Avocado Oil Vinaigrette,2022-10-16,17:21:04,['french'],['paleo'],"{'protein': 31.23, 'carbs': 74.97, 'fat': 116.67}"
The Paleo Diet’s Salmon Caesar Salad Recipe,2022-10-16,17:21:04,['nordic'],['paleo'],"{'protein': 155.95, 'carbs': 49.31, 'fat': 150.25}"
"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",2022-10-16,17:21:11,['italian'],['paleo'],"{'protein': 32.32, 'carbs': 157.39, 'fat': 194.11}"
Southwest Cowboy Chili From 'Nom Nom Paleo',2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 430.2, 'carbs': 138.37, 'fat': 178.17}"
Swiss Paleo’s Homemade Italian & Chorizo Sausage,2022-10-16,17:21:11,['italian'],['paleo'],"{'protein': 1273.61, 'carbs': 83.34, 'fat': 1608.54}"
Paleo Doritos Toast Will Scratch Your Snack Itch,2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 32.75, 'carbs': 22.67, 'fat': 2.45}"
"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 36.0, 'carbs': 142.79, 'fat': 107.74}"
Paleo Spaghetti Squash and Amped Up Meatballs,2022-10-16,17:21:11,['italian'],['paleo'],"{'protein': 128.33, 'carbs': 154.22, 'fat': 125.77}"
Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,2022-10-16,17:21:11,['nordic'],['paleo'],"{'protein': 65.78, 'carbs': 96.23, 'fat': 130.86}"
The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,2022-10-16,17:21:11,['french'],['paleo'],"{'protein': 152.56, 'carbs': 53.59, 'fat': 205.36}"
Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 283.7, 'carbs': 78.55, 'fat': 252.1}"
Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,2022-10-16,17:21:11,['nordic'],['paleo'],"{'protein': 6.45, 'carbs': 66.8, 'fat': 42.58}"
Orange Sriracha Chicken recipes,2022-10-16,17:21:11,['south east asian'],['paleo'],"{'protein': 104.17, 'carbs': 82.97, 'fat': 64.82}"
Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 12.77, 'carbs': 112.92, 'fat': 56.84}"
Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 73.83, 'carbs': 185.59, 'fat': 307.46}"
"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 197.91, 'carbs': 312.15, 'fat': 371.5}"
Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,2022-10-16,17:21:11,['italian'],['paleo'],"{'protein': 102.47, 'carbs': 51.64, 'fat': 54.82}"
"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 14.26, 'carbs': 79.07, 'fat': 109.53}"
Dill Butternut Squash Fries,2022-10-16,17:21:11,['american'],['paleo'],"{'protein': 7.68, 'carbs': 89.2, 'fat': 14.38}"
Crispy Sweet Potato Fries,2022-10-16,17:21:18,['south american'],['paleo'],"{'protein': 4.4, 'carbs': 56.19, 'fat': 28.84}"
Rosemary and Garlic Parsnip Mash,2022-10-16,17:21:18,['american'],['paleo'],"{'protein': 3.34, 'carbs': 48.53, 'fat': 13.6}"
Four Layer Beef and Bacon Casserole,2022-10-16,17:21:18,['american'],['paleo'],"{'protein': 213.63, 'carbs': 149.66, 'fat': 298.56}"
Boston Baked Beef,2022-10-16,17:21:18,['american'],['paleo'],"{'protein': 135.99, 'carbs': 193.85, 'fat': 232.95}"
Nutella Brownie Truffles,2022-10-16,17:21:18,['french'],['paleo'],"{'protein': 12.21, 'carbs': 151.95, 'fat': 98.75}"
Best Ever Bars,2022-10-16,17:21:18,['american'],['paleo'],"{'protein': 62.76, 'carbs': 194.9, 'fat': 266.67}"
Salmon Cakes,2022-10-16,17:21:18,['nordic'],['paleo'],"{'protein': 86.31, 'carbs': 11.17, 'fat': 66.45}"
Crockpot Italian Chicken and Peppers,2022-10-16,17:21:18,['italian'],['paleo'],"{'protein': 86.07, 'carbs': 84.94, 'fat': 43.04}"
Herbed Rack of Lamb,2022-10-16,17:21:18,['middle eastern'],['paleo'],"{'protein': 35.36, 'carbs': 6.76, 'fat': 133.82}"
Moroccan Braised Chicken and Kale,2022-10-16,17:21:18,['middle eastern'],['paleo'],"{'protein': 283.65, 'carbs': 89.99, 'fat': 306.29}"
Roasted Tomato Soup,2022-10-16,17:21:18,['italian'],['paleo'],"{'protein': 39.32, 'carbs': 88.7, 'fat': 50.97}"
Sweet Plantain Guacamole,2022-10-16,17:21:18,['south american'],['paleo'],"{'protein': 19.18, 'carbs': 134.0, 'fat': 138.71}"
Turkey Spaghetti Zoodles,2022-10-16,17:21:18,['american'],['paleo'],"{'protein': 122.69, 'carbs': 96.81, 'fat': 51.15}"
Celery Leaf & Fennel Poached Salmon,2022-10-16,17:21:18,['nordic'],['paleo'],"{'protein': 32.41, 'carbs': 17.25, 'fat': 24.49}"
Turkey Veggie Meatballs With Spaghetti Squash,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 122.78, 'carbs': 147.94, 'fat': 51.84}"
Asian Sesame Chicken & Broccoli,2022-10-16,17:21:24,['chinese'],['paleo'],"{'protein': 107.67, 'carbs': 31.95, 'fat': 70.25}"
Cauliflower Fried Rice,2022-10-16,17:21:24,['chinese'],['paleo'],"{'protein': 46.62, 'carbs': 82.76, 'fat': 53.47}"
Khoresht Lubia Sabz (Persian Green Bean Stew),2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 121.29, 'carbs': 69.51, 'fat': 49.55}"
Cinnamon Chocolate Swirl Banana Bread,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 68.73, 'carbs': 266.84, 'fat': 183.04}"
Easy Pan Gravy,2022-10-16,17:21:24,['british'],['paleo'],"{'protein': 0.32, 'carbs': 6.54, 'fat': 11.65}"
Salsa Fresca estilo Siete,2022-10-16,17:21:24,['mexican'],['paleo'],"{'protein': 4.94, 'carbs': 33.55, 'fat': 1.11}"
Ginger Snap Pumpkin Butter Cookie Sandwiches,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 97.78, 'carbs': 239.78, 'fat': 356.65}"
Cauliflower Soup Drizzled with White Truffle Oil,2022-10-16,17:21:24,['french'],['paleo'],"{'protein': 41.9, 'carbs': 64.07, 'fat': 37.95}"
Apple Pumpkin Soup,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 9.95, 'carbs': 64.53, 'fat': 19.56}"
Easy Vegan Pad Thai Supreme,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 97.94, 'carbs': 217.78, 'fat': 168.32}"
Beef Chorizo con Huevo estilo Siete,2022-10-16,17:21:24,['mediterranean'],['paleo'],"{'protein': 133.92, 'carbs': 12.88, 'fat': 92.88}"
Angel Food Cake,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 55.09, 'carbs': 283.94, 'fat': 5.02}"
Asian Chicken Salad,2022-10-16,17:21:24,['asian'],['paleo'],"{'protein': 69.61, 'carbs': 44.66, 'fat': 128.44}"
Roasted Beef Tenderloin,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 349.89, 'carbs': 10.57, 'fat': 130.34}"
"Kale, Artichoke and Pecorino Salad",2022-10-16,17:21:24,['mediterranean'],['paleo'],"{'protein': 36.98, 'carbs': 40.42, 'fat': 58.68}"
Spicy Thai Peanut Kelp Noodle Pad Thai,2022-10-16,17:21:24,['south east asian'],['paleo'],"{'protein': 92.67, 'carbs': 357.52, 'fat': 68.86}"
Almond Meal Encrusted Chicken Nuggets - REAL FOOD Healing Recipe from Mee Tracy McCormick,2022-10-16,17:21:24,['american'],['paleo'],"{'protein': 191.06, 'carbs': 25.06, 'fat': 137.85}"
Artichoke Francaise,2022-10-16,17:21:31,['mediterranean'],['paleo'],"{'protein': 35.81, 'carbs': 127.03, 'fat': 62.87}"
Braised Short Rib Bolognese,2022-10-16,17:21:31,['italian'],['paleo'],"{'protein': 242.69, 'carbs': 59.62, 'fat': 607.18}"
Maialino's Olive Oil Cake (Adapted by Becca Fox),2022-10-16,17:21:31,['american'],['paleo'],"{'protein': 72.45, 'carbs': 479.49, 'fat': 468.3}"
Homemade Ravioli with Ricotta Cheese and Spinach Filling,2022-10-16,17:21:31,['italian'],['paleo'],"{'protein': 118.65, 'carbs': 300.0, 'fat': 107.45}"
Boneless Short Ribs on the BGE,2022-10-16,17:21:31,['french'],['paleo'],"{'protein': 392.64, 'carbs': 12.51, 'fat': 472.92}"
Ribollita,2022-10-16,17:21:31,['italian'],['paleo'],"{'protein': 66.67, 'carbs': 180.22, 'fat': 111.67}"
Pear and Apple Coffeecake with Walnut Topping,2022-10-16,17:21:31,['british'],['paleo'],"{'protein': 68.86, 'carbs': 309.13, 'fat': 384.74}"
Artichoke and Perfect Asparagus Salad with Lemony Herbed Vinaigrette,2022-10-16,17:21:31,['mediterranean'],['paleo'],"{'protein': 22.61, 'carbs': 68.6, 'fat': 103.89}"
Indian Spiced Broccoli and Potato Hash,2022-10-16,17:21:31,['nordic'],['paleo'],"{'protein': 9.39, 'carbs': 47.36, 'fat': 10.47}"
Vegan Dark Chocolate Coconut Tart,2022-10-16,17:21:31,['american'],['paleo'],"{'protein': 32.24, 'carbs': 221.1, 'fat': 103.54}"
Pork and Charred Brussels Sprouts with Chile Lime Sauce,2022-10-16,17:21:31,['south american'],['paleo'],"{'protein': 145.56, 'carbs': 240.17, 'fat': 89.14}"
Apple Fennel Casserole with a Coconut-Turmeric Twist,2022-10-16,17:21:31,['italian'],['paleo'],"{'protein': 5.6, 'carbs': 46.5, 'fat': 18.34}"
Slow-Cooker 'Osso Buco' Stew,2022-10-16,17:21:31,['italian'],['paleo'],"{'protein': 211.11, 'carbs': 94.79, 'fat': 61.46}"
Vegan Coconut Cream Tart with White Peaches and Blueberries,2022-10-16,17:21:31,['american'],['paleo'],"{'protein': 39.45, 'carbs': 285.88, 'fat': 109.49}"
Spiced Harvest Cake,2022-10-16,17:21:31,['british'],['paleo'],"{'protein': 65.92, 'carbs': 455.58, 'fat': 158.29}"
Paleo MeeNut™ Butter Sandwich on Paleo Bread™,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 0.93, 'carbs': 3.08, 'fat': 24.31}"
Low Carb Paleo Egg Wrap Recipe,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 16.71, 'carbs': 28.5, 'fat': 15.85}"
Paleo Nutella Banana Ice Cream,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 7.86, 'carbs': 186.18, 'fat': 30.1}"
Paleo Whole30 Pesto Chicken Salad,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 176.97, 'carbs': 10.7, 'fat': 206.48}"
The Elvis Paleo Sandwich Recipe,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 18.72, 'carbs': 68.14, 'fat': 54.08}"
Simple Paleo Reese’s Cups,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 69.56, 'carbs': 157.94, 'fat': 257.36}"
Paleo Meatloaf recipes,2022-10-16,17:21:38,['american'],['paleo'],"{'protein': 216.95, 'carbs': 203.73, 'fat': 178.18}"
Paleo Nacho Casserole,2022-10-16,17:21:38,['mexican'],['paleo'],"{'protein': 156.83, 'carbs': 88.03, 'fat': 167.6}"
Simple Paleo Coleslaw Dressing,2022-10-16,17:21:38,['mediterranean'],['paleo'],"{'protein': 6.76, 'carbs': 17.01, 'fat': 89.82}"
Paleo Bread Stuffing recipes,2022-10-16,17:21:44,['american'],['paleo'],"{'protein': 54.96, 'carbs': 208.13, 'fat': 49.2}"
Paleo deviled egg recipe,2022-10-16,17:21:44,['french'],['paleo'],"{'protein': 32.74, 'carbs': 3.08, 'fat': 69.22}"
Paleo Peppermint Bark,2022-10-16,17:21:44,['american'],['paleo'],"{'protein': 30.23, 'carbs': 191.35, 'fat': 235.63}"
Paleo Chipotle Dipping Sauce,2022-10-16,17:21:44,['mexican'],['paleo'],"{'protein': 2.14, 'carbs': 15.79, 'fat': 116.27}"
